Time;Voltage
45950;-244.848484848485
46000;-229.545454545455
46050;-229.545454545455
46100;-237.197459393939
46150;-221.89344969697
46200;-214.242424242424
46250;-229.545454545455
46300;-206.591398787879
46350;-214.242424242424
46400;-214.242424242424
46450;-198.939393939394
46500;-198.939393939394
46550;-198.939393939394
46600;-183.636363636364
46650;-191.287389090909
46700;-198.939393939394
46750;-175.985338181818
46800;-183.636363636364
46850;-183.636363636364
46900;-168.333333333333
46950;-175.985338181818
47000;-160.681328484848
47050;-153.030303030303
47100;-168.333333333333
47150;-145.379277575758
47200;-145.379277575758
47250;-153.030303030303
47300;-130.075267878788
47350;-130.075267878788
47400;-137.727272727273
47450;-114.773216969697
47500;-114.773216969697
47550;-122.424242424242
47600;-99.4692072727273
47650;-99.4692072727273
47700;-107.121212121212
47750;-91.8181818181818
47800;-99.4692072727273
47850;-99.4692072727273
47900;-76.5151515151515
47950;-91.8181818181818
48000;-76.5151515151515
48050;-61.2121212121212
48100;-76.5151515151515
48150;-53.5606060606061
48200;-45.9090909090909
48250;-61.2121212121212
48300;-38.2575757575758
48350;-38.2575757575758
48400;-38.2575757575758
48450;-22.9545454545455
48500;-22.9545454545455
48550;-22.9545454545455
48600;-7.65151515151515
48650;-7.65151515151515
48700;-7.65151515151515
48750;7.65151515151515
48800;0
48850;0
48900;22.9545454545455
48950;7.65151515151515
49000;22.9545454545455
49050;38.2575757575758
49100;22.9545454545455
49150;38.2575757575758
49200;45.9090909090909
49250;38.2575757575758
49300;61.2121212121212
49350;61.2121212121212
49400;53.5606060606061
49450;68.8636363636364
49500;68.8636363636364
49550;68.8636363636364
49600;84.1666666666667
49650;84.1666666666667
49700;76.5151515151515
49750;99.4692072727273
49800;91.8181818181818
49850;91.8181818181818
49900;107.121212121212
49950;99.4692072727273
50000;107.121212121212
50050;122.424242424242
50100;107.121212121212
50150;130.075267878788
50200;130.075267878788
50250;122.424242424242
50300;145.379277575758
50350;153.030303030303
